Book Title:,,,,,,,,,,,,,,,,,,,,,
Total Pages:,,,,,,,,,,,,,,,,,,,,,
Total Days:,,,,,,,,,,,,,,,,,,,,,
Avg Pages / Day:,,,,,,,,,,,,,,,,,,,,,
Schedule Start:,,,,,,,,,,,,,,,,,,,,,
Schedule End:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day #,Date,Plan Name,Day of Week,Book,Chapter or Section,Verse Range,Verses,Pages,Page Range,Plan #,Chapter (English),Segment Span,Chanting Guide,Chanting Guide(Sinhala),Chanting Guide(Bengali),Pali Word of the day,Pali Word of the day(Sinhali),Pali Word of the day(Bengali),notification title,notification body ,notification button text
131,21 Sep,"Days 131-132
The Analysis - Factors of Enlightenment",Tue,Vibhaṅgapāḷi,10. Bojjhaṅgavibhaṅgo,466–474,9,3,470–472,15,Analysis of the Factors of Enlightenment,,,,,,,,,,
132,22 Sep,,Wed,Vibhaṅgapāḷi,10. Bojjhaṅgavibhaṅgo,475–484,10,3,473–475,,Analysis of the Factors of Enlightenment,,,,,,,,,,
133,23 Sep,"Days 133-134
The Analysis - Path",Thu,Vibhaṅgapāḷi,11. Maggaṅgavibhaṅgo,485–495,11,4,476–479,16,Analysis of the Path Factors,,,,,,,,,,
134,24 Sep,,Fri,Vibhaṅgapāḷi,11. Maggaṅgavibhaṅgo,496–507,12,4,480–483,,Analysis of the Path Factors,,,,,,,,,,
135,25 Sep,"Days 135-140
The Analysis - Absorptions (Jhanas)


",Sat,Vibhaṅgapāḷi,12. Jhānavibhaṅgo,508–523,16,5,484–488,17,Analysis of the Jhānas,,,,,,,,,,
136,26 Sep,,Sun,Vibhaṅgapāḷi,12. Jhānavibhaṅgo,524–556,33,5,489–493,,Analysis of the Jhānas,,,,,,,,,,
137,27 Sep,,Mon,Vibhaṅgapāḷi,12. Jhānavibhaṅgo,557–587,31,4,494–497,,Analysis of the Jhānas,,,,,,,,,,
138,28 Sep,,Tue,Vibhaṅgapāḷi,12. Jhānavibhaṅgo,588–622,35,4,498–501,,Analysis of the Jhānas,,,,,,,,,,
139,29 Sep,,Wed,Vibhaṅgapāḷi,12. Jhānavibhaṅgo,623–631,9,4,502–505,,Analysis of the Jhānas,,,,,,,,,,
140,30 Sep,,Thu,Vibhaṅgapāḷi,12. Jhānavibhaṅgo,632–641,10,4,506–509,,Analysis of the Jhānas,,,,,,,,,,
